Category,Product Name,Price_PKR,Raw_Specs,Source,Brand,VRAM,RAM,Storage,Category_Enc,Brand_Enc,Fair_Price,Scalp_Score
Laptop,Asus Vivobook X1504VA-NJ104 Core i5 13th Gen 8GB 512GB 15.6 FHD Dos Silver (Official Warranty),145000,,Galaxy_Booster,Asus,0,8,512,1,3,152852.9854968303,-5.137606878468957
Laptop,"Lenovo IdeaPad 5 2-in-1 14IAL10 Intel Core Ultra 5 8GB 512GB SSD 14"" WUXGA Touch Display Backlit KB Win11 Cosmic Blue With Pen",178000,,Galaxy_Booster,Lenovo,0,8,512,1,8,210850.9834838765,-15.58018982936761
Laptop,"Dell Inspiron 2-in-1 7440 Intel Core 5 120U 16GB 512GB SSD 14"" FHD x360 Touch Display Backlit KB FPR Win11 Ice Blue",179000,,Galaxy_Booster,Dell,0,16,512,1,5,271293.7867299367,-34.01986748108312
Laptop,HP Victus 15-FB3093DX AMD Ryzen 7 16GB D5 512GB SSD 15.6″ FHD Display NVIDIA GeForce RTX 4050 6GB Graphics Backlit KB Win11 Mica Silver,240000,,Galaxy_Booster,Hp,0,16,512,1,7,240244.0039861236,-0.10156506804544166
Laptop,"Lenovo ThinkPad E16 G3 Intel Core 7 240H 16GB D5 512GB SSD 16"" WUXGA IPS Display Backlit KB Fingerprint Reader Dos Black (Official Warranty)",283500,,Deep_Scrape,Lenovo,0,16,512,1,8,292915.9158646717,-3.214545661295471
Laptop,"Lenovo LOQ 15IRX10 Intel Core i7 14th Gen 24GB D5 512GB SSD 15.6"" FHD IPS 144Hz Display NVIDIA RTX 5060 8GB Graphics Backlit KB DOS Luna Grey",375000,,Deep_Scrape,Lenovo,0,24,512,1,8,292647.56926406914,28.14048001253704
Laptop,"HP OmniBook 7 Flip 16-AU0773CL Intel Core Ultra 7 258V 32GB 1TB SSD 16"" 3K OLED X360 Touch Display Backlit KB Win11 Glacier Silver With Pen",399000,,Deep_Scrape,Hp,0,32,0,1,7,557260.3968253968,-28.399720799643262
Laptop,Asus Zenbook 14 UX3405CA-PZ252W Intel Core Ultra 9 285H 16GB D5 1TB SSD 14.0″ 3K OLED Touch Display Backlit KB Win11 Ponder Blue (Official Warranty),442000,,Deep_Scrape,Asus,0,16,0,1,3,386256.18394705607,14.431824879361596
Laptop,"Dell XPS 13 9345 Snapdragon X Elite X1E-80-100 32GB 1TB SSD 13.4"" OLED 3K Touchscreen Display Backlit KB Fingerprint Reader Win11 Graphite",470000,,Deep_Scrape,Dell,0,32,0,1,5,460326.1904761905,2.1015118678783686
Laptop,"Acer Predator Helios 18 AI PH18-73-96CY Intel Core Ultra 9 64GB D5 1TB SSD 18"" WQXGA IPS Mini LED 250Hz Display NVIDIA RTX 5080 16GB Graphics Backlit KB Win11 Home Black (Official Warranty)",955000,,Deep_Scrape,Acer,0,64,0,1,0,925298.1746031744,3.209973413117729
GPU,EASE E740 GeForce GT740 4GB GDDR5,22000,,Bulk_Scrape_v3,Other,4,0,0,0,12,24520.275,-10.278330891476548
GPU,EASE E305e GeForce RTX 3050 6GB DDR6,60000,,Bulk_Scrape_v3,Other,6,0,0,0,12,55875.314579365084,7.381945769229145
GPU,EASE E305 GeForce RTX 3050 8G DDR6,74000,,Bulk_Scrape_v3,Other,8,0,0,0,12,76107.12598124097,-2.7686316544922986
GPU,MSI GeForce RTX 3060 VENTUS 2X 12G OC,103000,,Bulk_Scrape_v3,Msi,12,0,0,0,10,202924.11513486507,-49.242109577984195
GPU,ZOTAC GAMING GeForce RTX 5060 SOLO 8GB 128BIT GDDR7,110000,,Bulk_Scrape_v3,Zotac,8,0,0,0,16,116993.41666666666,-5.977615549592882
GPU,PNY GeForce RTX™ 4060Ti 8GB VERTO™ Overclocked Dual Fan DLSS 3,150000,,Bulk_Scrape_v3,Pny,8,0,0,0,14,95818.51071428572,56.5459522192681
GPU,PNY GeForce RTX™ 4060Ti 16GB VERTO™ Dual Fan DLSS 3,163000,,Bulk_Scrape_v3,Pny,16,0,0,0,14,253319.48989898988,-35.65437856163551
GPU,PNY GeForce RTX™ 4070 SUPER 12GB VERTO™ Overclocked Dual Fan DLSS 3,210000,,Bulk_Scrape_v3,Pny,12,0,0,0,14,196179.85119047618,7.044632119791686
GPU,MSI GeForce RTX 4070 VENTUS 2X 12G OC,222000,,Bulk_Scrape_v3,Msi,12,0,0,0,10,202924.11513486507,9.400501686286487
GPU,ZOTAC GAMING GeForce RTX 5070 12GB 192BIT SOLID,245000,,Bulk_Scrape_v3,Zotac,12,0,0,0,16,222812.53073593072,9.957909095501034
GPU,ZOTAC GAMING GeForce RTX 5070 12GB 192BIT AMP White Edition GDDR7,250000,,Bulk_Scrape_v3,Zotac,12,0,0,0,16,222812.53073593072,12.201948056633707
GPU,Gigabyte GeForce RTX 5070Ti 256Bit Windforce OC SFF 16GB GDDR7,305000,,Bulk_Scrape_v3,Gigabyte,16,0,0,0,6,352047.8768584193,-13.364056411378444
GPU,Zotac Gaming GeForce RTX 5070Ti 16GB 256BIT Solid SFF GDDR7,350000,,Bulk_Scrape_v3,Zotac,16,0,0,0,16,326092.0575047506,7.3316543427007845
GPU,Zotac Gaming GeForce RTX 5070Ti 16GB 256BIT Solid SFF OC GDDR7,352000,,Bulk_Scrape_v3,Zotac,16,0,0,0,16,326092.0575047506,7.944978081801931
GPU,ZOTAC GAMING GeForce RTX 5080 16GB 256BIT SOLID CORE OC GDDR7,410000,,Bulk_Scrape_v3,Zotac,16,0,0,0,16,326092.0575047506,25.731366515735203
GPU,MSI GeForce RTX 5090 32G GAMING TRIO OC Graphics Card,1037000,,Bulk_Scrape_v3,Msi,32,0,0,0,10,1048739.0817815224,-1.1193519899707431
GPU,MSI GeForce RTX 5090 32G VANGUARD SOC Graphics Card,1058000,,Bulk_Scrape_v3,Msi,32,0,0,0,10,1048739.0817815224,0.8830526466836583
GPU,MSI GeForce RTX 5090 32G SUPRIM SOC Graphics Card,1082000,,Bulk_Scrape_v3,Msi,32,0,0,0,10,1048739.0817815224,3.1715150885744032
Laptop,"HP 15s FD0531NIA Intel Core i3 13th Gen 4GB 256GB SSD 15.6"" FHD Display Backlit KB DOS Natural Silver",105000,,Bulk_Scrape_Fixed,Hp,0,4,256,1,7,104665.64365079362,0.3194518636143206
Laptop,"HP Laptop 15-FD0532NIA Intel Core i3 13th Gen 4GB 256GB SSD 15.6"" FHD Display Dos Natural Silver",105400,,Bulk_Scrape_Fixed,Hp,0,4,256,1,7,104665.64365079362,0.7016212040471371
Laptop,Lenovo V15 G4 IRU Intel Core i3 13th 8GB 256GB SSD 15.6″ FHD Display Dos Business Black (Official Warranty),105900,,Bulk_Scrape_Fixed,Lenovo,0,8,256,1,8,127828.43819351721,-17.15458508561306
Laptop,"Lenovo Ideapad Slim 3 15IAN8 Intel Core i3-N305 8GB 256GB SSD 15.6"" FHD Display Win11 Home Arctic Grey",106000,,Bulk_Scrape_Fixed,Lenovo,0,8,256,1,8,127828.43819351721,-17.0763552320584
Laptop,Lenovo Ideapad Slim 3 15IRU8 Intel Core i3 13th Gen 8GB 256GB SSD 15.6 FHD Dos Grey,106500,,Bulk_Scrape_Fixed,Lenovo,0,8,256,1,8,127828.43819351721,-16.68520596428509
Laptop,"Lenovo Ideapad Slim 3 15IRU8 Intel Core i3 13th Gen 8GB D5 512GB SSD 15.6"" FHD Display Dos Arctic Grey",107000,,Bulk_Scrape_Fixed,Lenovo,0,8,512,1,8,210850.9834838765,-49.25326017832772
Laptop,Lenovo Ideapad Slim 3 15IRU8 Intel Core i3 13th Gen 8GB 256GB SSD 15.6 FHD Dos Grey - Official Warranty,107000,,Bulk_Scrape_Fixed,Lenovo,0,8,256,1,8,127828.43819351721,-16.29405669651178
Laptop,"Dell Vostro 3530 Intel Core i3 13th Gen 8GB 512GB SSD 15.6"" FHD Display Dos Black",109500,,Bulk_Scrape_Fixed,Dell,0,8,512,1,5,156479.88004763957,-30.022952492893506
Laptop,HP 250 G10 Intel Core i3 13th Gen 8GB 512GB SSD 15.6 FHD Dos Silver,120000,,Bulk_Scrape_Fixed,Hp,0,8,512,1,7,179149.7934443866,-33.01694760968197
Laptop,Lenovo Ideapad 3 15ALC6 AMD Ryzen 5 5500U 8GB 512GB SSD 15.6 IPS Win10 Grey - Open Box,121000,,Bulk_Scrape_Fixed,Lenovo,0,8,512,1,8,210850.9834838765,-42.61349982782854
Laptop,Lenovo Ideapad 3 15ITL6 Intel Core i5 11th Gen 8GB 512GB SSD 15.6 IPS Win10 Grey - Open Box,124000,,Bulk_Scrape_Fixed,Lenovo,0,8,512,1,8,210850.9834838765,-41.190694038435865
Laptop,Lenovo Ideapad 3 AMD Ryzen 7 5700U 8GB 512GB SSD 15.6 IPS Touch Win10 Blue - Open Box,129999,,Bulk_Scrape_Fixed,Lenovo,0,8,512,1,8,210850.9834838765,-38.34555672824697
Laptop,"HP 15 FC0298AU AMD Ryzen 5 7430U 8GB 512GB SSD 15.6"" FHD Display Backlit KB Silver Win11 (Official Warranty)",131000,,Bulk_Scrape_Fixed,Hp,0,8,512,1,7,179149.7934443866,-26.87683447390282
Laptop,Lenovo Ideapad Slim 3 15IRH8 Intel Core i5 13th Gen 8GB 512GB SSD 15.6 FHD Dos Grey (Official Warranty),131000,,Bulk_Scrape_Fixed,Lenovo,0,8,512,1,8,210850.9834838765,-37.87081386318628
Laptop,"Lenovo ThinkBook 16 G6 IRL Intel Core i3 13th Gen 8GB D5 512GB SSD 16"" WUXGA Display Dos Arctic Grey (Official Warranty)",133000,,Bulk_Scrape_Fixed,Lenovo,0,8,512,1,8,210850.9834838765,-36.92227667025782
Laptop,Dell Vostro 3530 Intel Core i5 13th Gen 8GB 512GB SSD 15.6 FHD 120Hz Display Dos Black,138500,,Bulk_Scrape_Fixed,Dell,0,8,512,1,5,156479.88004763957,-11.49021844991553
Laptop,"Dell Inspiron 3530 Intel Core i5 13th Gen 8GB 512GB SSD 15.6"" FHD Touchscreen Display Win11 Home Carbon Black",140800,,Bulk_Scrape_Fixed,Dell,0,8,512,1,5,156479.88004763957,-10.020380922369
Laptop,"HP Laptop 15-FD0336TU Intel Core i5 13th Gen 8GB 512GB SSD 15.6"" FHD Display Backlit KB Dos Natural Silver",141000,,Bulk_Scrape_Fixed,Hp,0,8,512,1,7,179149.7934443866,-21.29491344137632
Laptop,"HP 15-FD0499NIA Intel Core i5 13th Gen 8GB 512GB SSD 15.6"" FHD Display Backlit KB Dos Natural Silver",143000,,Bulk_Scrape_Fixed,Hp,0,8,512,1,7,179149.7934443866,-20.17852923487102
Laptop,"Dell Inspiron 5440 Intel Core i5 13th Gen 8GB 512GB SSD 14"" FHD Display Backlit KB Win11 Home Carbon Black",143000,,Bulk_Scrape_Fixed,Dell,0,8,512,1,5,156479.88004763957,-8.614449374281016
Laptop,"HP 15 DW3004NE Intel Core i5 11th Gen 8GB 256GB SSD 15.6"" FHD Display Nvidia MX350 2GB Graphics Dos Silver - Open Box",144000,,Bulk_Scrape_Fixed,Hp,0,8,256,1,7,138751.0453987614,3.7830018405651984
Laptop,"HP 15 FD0647TU Intel Core i5 13th Gen 8GB 512GB SSD 15.6"" FHD Display Backlit KB Win11 Natural Silver (Official Warranty)",144000,,Bulk_Scrape_Fixed,Hp,0,8,512,1,7,179149.7934443866,-19.62033713161837
Laptop,"Lenovo IdeaPad Slim 3 15IRU9 Intel Core Ultra 5 120U 8GB 512GB SSD 15.6"" FHD Touchscreen Display Backlit KB Fingerprint Reader Win11 Home Arctic Grey",145000,,Bulk_Scrape_Fixed,Lenovo,0,8,512,1,8,210850.9834838765,-31.2310535126871
Laptop,"HP 15 FD0150WM Intel Core 5 120U 8GB 512GB SSD 15.6"" FHD Touchscreen Display Win11 Natural Silver",147000,,Bulk_Scrape_Fixed,Hp,0,8,512,1,7,179149.7934443866,-17.94576082186042
Laptop,Lenovo Ideapad 3 Intel Core i7 11th Gen 8GB 1TB HDD 15.6 FHD Dos Grey,147000,,Bulk_Scrape_Fixed,Lenovo,0,8,0,1,8,279587.343073593,-47.422512627366444
Laptop,Lenovo V15 G4 IRU Intel Core i5 13th 8GB 512GB SSD 15.6″ FHD Display Dos Business Black (Official Warranty),148500,,Bulk_Scrape_Fixed,Lenovo,0,8,512,1,8,210850.9834838765,-29.571113425062308
Laptop,"ASUS ExpertBook B1503CVA-I516512G8D Intel Core i5 13th Gen 16GB D5 512GB SSD 15.6"" FHD Display Backlit KB Fingerprint Reader Dos Gentle Grey (Official Warranty)",150000,,Bulk_Scrape_Fixed,Asus,0,16,512,1,3,276356.24420432514,-45.72223239179033
Laptop,Dell Inspiron 3530 Intel Core i5 13th Gen 8GB 512GB SSD 15.6 FHD 120Hz Dos Platinum Silver with Bag - Official Warranty,155000,,Bulk_Scrape_Fixed,Dell,0,8,512,1,5,156479.88004763957,-0.9457318392556457
