Category,Product Name,Price_PKR,Raw_Specs,Source,Brand,VRAM,RAM,Storage
Laptop,Asus Vivobook X1504VA-NJ104 Core i5 13th Gen 8GB 512GB 15.6 FHD Dos Silver (Official Warranty),145000,,Galaxy_Booster,Asus,,8.0,512.0
Laptop,"Lenovo IdeaPad 5 2-in-1 14IAL10 Intel Core Ultra 5 8GB 512GB SSD 14"" WUXGA Touch Display Backlit KB Win11 Cosmic Blue With Pen",178000,,Galaxy_Booster,Lenovo,,8.0,512.0
Laptop,"Dell Inspiron 2-in-1 7440 Intel Core 5 120U 16GB 512GB SSD 14"" FHD x360 Touch Display Backlit KB FPR Win11 Ice Blue",179000,,Galaxy_Booster,Dell,,16.0,512.0
Laptop,HP Victus 15-FB3093DX AMD Ryzen 7 16GB D5 512GB SSD 15.6″ FHD Display NVIDIA GeForce RTX 4050 6GB Graphics Backlit KB Win11 Mica Silver,240000,,Galaxy_Booster,Hp,,16.0,512.0
Laptop,"Lenovo ThinkPad E16 G3 Intel Core 7 240H 16GB D5 512GB SSD 16"" WUXGA IPS Display Backlit KB Fingerprint Reader Dos Black (Official Warranty)",283500,,Deep_Scrape,Lenovo,,16.0,512.0
Laptop,"Lenovo LOQ 15IRX10 Intel Core i7 14th Gen 24GB D5 512GB SSD 15.6"" FHD IPS 144Hz Display NVIDIA RTX 5060 8GB Graphics Backlit KB DOS Luna Grey",375000,,Deep_Scrape,Lenovo,,8.0,512.0
Laptop,"HP OmniBook 7 Flip 16-AU0773CL Intel Core Ultra 7 258V 32GB 1TB SSD 16"" 3K OLED X360 Touch Display Backlit KB Win11 Glacier Silver With Pen",399000,,Deep_Scrape,Hp,,32.0,
Laptop,Asus Zenbook 14 UX3405CA-PZ252W Intel Core Ultra 9 285H 16GB D5 1TB SSD 14.0″ 3K OLED Touch Display Backlit KB Win11 Ponder Blue (Official Warranty),442000,,Deep_Scrape,Asus,,16.0,
Laptop,"Dell XPS 13 9345 Snapdragon X Elite X1E-80-100 32GB 1TB SSD 13.4"" OLED 3K Touchscreen Display Backlit KB Fingerprint Reader Win11 Graphite",470000,,Deep_Scrape,Dell,,32.0,
Laptop,"Acer Predator Helios 18 AI PH18-73-96CY Intel Core Ultra 9 64GB D5 1TB SSD 18"" WQXGA IPS Mini LED 250Hz Display NVIDIA RTX 5080 16GB Graphics Backlit KB Win11 Home Black (Official Warranty)",955000,,Deep_Scrape,Acer,,64.0,
GPU,EASE E740 GeForce GT740 4GB GDDR5,22000,,Bulk_Scrape_v3,Other,4.0,,
GPU,EASE E305e GeForce RTX 3050 6GB DDR6,60000,,Bulk_Scrape_v3,Other,6.0,,
GPU,EASE E305 GeForce RTX 3050 8G DDR6,74000,,Bulk_Scrape_v3,Other,8.0,,
GPU,MSI GeForce RTX 3060 VENTUS 2X 12G OC,103000,,Bulk_Scrape_v3,Msi,12.0,,
GPU,ZOTAC GAMING GeForce RTX 5060 SOLO 8GB 128BIT GDDR7,110000,,Bulk_Scrape_v3,Zotac,8.0,,
GPU,PNY GeForce RTX™ 4060Ti 8GB VERTO™ Overclocked Dual Fan DLSS 3,150000,,Bulk_Scrape_v3,Pny,8.0,,
GPU,PNY GeForce RTX™ 4060Ti 16GB VERTO™ Dual Fan DLSS 3,163000,,Bulk_Scrape_v3,Pny,16.0,,
GPU,PNY GeForce RTX™ 4070 SUPER 12GB VERTO™ Overclocked Dual Fan DLSS 3,210000,,Bulk_Scrape_v3,Pny,12.0,,
GPU,MSI GeForce RTX 4070 VENTUS 2X 12G OC,222000,,Bulk_Scrape_v3,Msi,12.0,,
GPU,ZOTAC GAMING GeForce RTX 5070 12GB 192BIT SOLID,245000,,Bulk_Scrape_v3,Zotac,12.0,,
GPU,ZOTAC GAMING GeForce RTX 5070 12GB 192BIT AMP White Edition GDDR7,250000,,Bulk_Scrape_v3,Zotac,12.0,,
GPU,Gigabyte GeForce RTX 5070Ti 256Bit Windforce OC SFF 16GB GDDR7,305000,,Bulk_Scrape_v3,Gigabyte,16.0,,
GPU,Zotac Gaming GeForce RTX 5070Ti 16GB 256BIT Solid SFF GDDR7,350000,,Bulk_Scrape_v3,Zotac,16.0,,
GPU,Zotac Gaming GeForce RTX 5070Ti 16GB 256BIT Solid SFF OC GDDR7,352000,,Bulk_Scrape_v3,Zotac,16.0,,
GPU,ZOTAC GAMING GeForce RTX 5080 16GB 256BIT SOLID CORE OC GDDR7,410000,,Bulk_Scrape_v3,Zotac,16.0,,
GPU,MSI GeForce RTX 5090 32G GAMING TRIO OC Graphics Card,1037000,,Bulk_Scrape_v3,Msi,32.0,,
GPU,MSI GeForce RTX 5090 32G VANGUARD SOC Graphics Card,1058000,,Bulk_Scrape_v3,Msi,32.0,,
GPU,MSI GeForce RTX 5090 32G SUPRIM SOC Graphics Card,1082000,,Bulk_Scrape_v3,Msi,32.0,,
Laptop,"HP 15s FD0531NIA Intel Core i3 13th Gen 4GB 256GB SSD 15.6"" FHD Display Backlit KB DOS Natural Silver",105000,,Bulk_Scrape_Fixed,Hp,,4.0,256.0
Laptop,"HP Laptop 15-FD0532NIA Intel Core i3 13th Gen 4GB 256GB SSD 15.6"" FHD Display Dos Natural Silver",105400,,Bulk_Scrape_Fixed,Hp,,4.0,256.0
Laptop,Lenovo V15 G4 IRU Intel Core i3 13th 8GB 256GB SSD 15.6″ FHD Display Dos Business Black (Official Warranty),105900,,Bulk_Scrape_Fixed,Lenovo,,8.0,256.0
Laptop,"Lenovo Ideapad Slim 3 15IAN8 Intel Core i3-N305 8GB 256GB SSD 15.6"" FHD Display Win11 Home Arctic Grey",106000,,Bulk_Scrape_Fixed,Lenovo,,8.0,256.0
Laptop,Lenovo Ideapad Slim 3 15IRU8 Intel Core i3 13th Gen 8GB 256GB SSD 15.6 FHD Dos Grey,106500,,Bulk_Scrape_Fixed,Lenovo,,8.0,256.0
Laptop,"Lenovo Ideapad Slim 3 15IRU8 Intel Core i3 13th Gen 8GB D5 512GB SSD 15.6"" FHD Display Dos Arctic Grey",107000,,Bulk_Scrape_Fixed,Lenovo,,8.0,512.0
Laptop,Lenovo Ideapad Slim 3 15IRU8 Intel Core i3 13th Gen 8GB 256GB SSD 15.6 FHD Dos Grey - Official Warranty,107000,,Bulk_Scrape_Fixed,Lenovo,,8.0,256.0
Laptop,"Dell Vostro 3530 Intel Core i3 13th Gen 8GB 512GB SSD 15.6"" FHD Display Dos Black",109500,,Bulk_Scrape_Fixed,Dell,,8.0,512.0
Laptop,HP 250 G10 Intel Core i3 13th Gen 8GB 512GB SSD 15.6 FHD Dos Silver,120000,,Bulk_Scrape_Fixed,Hp,,8.0,512.0
Laptop,Lenovo Ideapad 3 15ALC6 AMD Ryzen 5 5500U 8GB 512GB SSD 15.6 IPS Win10 Grey - Open Box,121000,,Bulk_Scrape_Fixed,Lenovo,,8.0,512.0
Laptop,Lenovo Ideapad 3 15ITL6 Intel Core i5 11th Gen 8GB 512GB SSD 15.6 IPS Win10 Grey - Open Box,124000,,Bulk_Scrape_Fixed,Lenovo,,8.0,512.0
Laptop,Lenovo Ideapad 3 AMD Ryzen 7 5700U 8GB 512GB SSD 15.6 IPS Touch Win10 Blue - Open Box,129999,,Bulk_Scrape_Fixed,Lenovo,,8.0,512.0
Laptop,"HP 15 FC0298AU AMD Ryzen 5 7430U 8GB 512GB SSD 15.6"" FHD Display Backlit KB Silver Win11 (Official Warranty)",131000,,Bulk_Scrape_Fixed,Hp,,8.0,512.0
Laptop,Lenovo Ideapad Slim 3 15IRH8 Intel Core i5 13th Gen 8GB 512GB SSD 15.6 FHD Dos Grey (Official Warranty),131000,,Bulk_Scrape_Fixed,Lenovo,,8.0,512.0
Laptop,"Lenovo ThinkBook 16 G6 IRL Intel Core i3 13th Gen 8GB D5 512GB SSD 16"" WUXGA Display Dos Arctic Grey (Official Warranty)",133000,,Bulk_Scrape_Fixed,Lenovo,,8.0,512.0
